id,name,street_number,route,city,state,country,zip_code,latitude,longitude,streetview_exists,description,phone,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,photo_url,rating,address_link,website,tamu_affiliation,resource_type
dc840912-f748-44cd-bf0f-46c4c9526c19,Elizabeth House Maternity Home,2911,Texas Avenue South,College Station,Texas,United States,77845,30.5984685,-96.296838,true,"Provide a safe, stable and supportive place for residents and up to two children to live while dealing with unexpected pregnancy.\nProvide free housing throughout pregnancy and continue for up to 6 months after delivery.\nAssist residents to meet basic needs, such as clothing, baby items, long-term housing, job and educational opportunities.\nProvide residents access to health services\nPartner with other community nonprofits and government organizations to provide for residents’ needs and well-being.",(979) 676-9416,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,AUacShhsaEO-IbLBawTTT61Zq9sM-1tPXnPrlq-seCCNRsGHnMJ3cF3Bqe2PlJbZqBAbCw4NxeJ2CUYQqjyYa-a89_KKlV3o2IIP1XZlMpPANziEwkPmcEfUaNsMOPk_cBB9_I-NWI2pYZrxe3wvkj8WIIaoM6aVHdLRFF5zXhD9iqfg1K1M,5,https://maps.google.com/?cid=11475331361794472719,http://www.elizhouse.com/,No,Error: Not Found
50b18b4b-6bd0-42e8-80f2-f6558734dfea,Twin City Mission,410,South Randolph Avenue,Bryan,Texas,United States,77803,30.6690231,-96.3805778,true,"Twin City Mission will accomplish its Vision through programs addressing homelessness, violence and abuse, family conflict, youth in crisis, life skills deficiencies, and poverty. They have a Homeless shelter, Community Closet, and community café.",(979) 822-1492,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShinc_8UTG7PTzJ0jRARUhZUQwVXDtD_5DFViSNz7ytRPad2FiNhwAMEjTnpafmVuWJPImuQ_Q5XDyYbHyrHq6sg9qkfkwjBAcJJX3GT-jtPoVcYNZHFI5Zg_fePT0XSE8162ZJCXmzMe30662O_jS3jvZiBrkNVCevoN120IBpz6Edi,4.1,https://maps.google.com/?cid=2145362696860666391,http://twincitymission.org/,No,Error: Not Found
a37c38b4-eda0-4aa5-903f-d34a259bec55,Big Brother Big Sister,315,Tauber Street,College Station,Texas,United States,77840,30.6200488,-96.3464578,true,We provide mentoring services to children 6-18 years of age. We help nurture children and strengthen communities.,(979) 224-3660,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,3,https://maps.google.com/?cid=11746918291455438641,http://www.bbbsbrazos.com/,No,Error: Not Found
843777cd-0b28-4ca2-a4ce-21bd93e20bc1,Brazos County Adult Probation,321,East 26th Street,Bryan,Texas,United States,77803,30.6731634,-96.3706964,true,"Services for adults on probation. To protect the community by facilitating positive changes in offender \nbehavior, through the provision of programs and services and rapid \naccountability for offender actions.",(979) 361-4410,Sunday: Closed,Monday: 7:00 AM – 5:00 PM,Tuesday: 7:00 AM – 5:00 PM,Wednesday: 7:00 AM – 5:00 PM,Thursday: 7:00 AM – 5:00 PM,Friday: 7:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,4,https://maps.google.com/?cid=2411293979060497676,http://www.brazoscountytx.gov/index.aspx?NID=287,No,Error: Not Found
b66e3377-1bcb-4a6a-bc3a-285afdfa10b9,Brazos County Health Department,201,North Texas Avenue,Bryan,Texas,United States,77803,30.6745998,-96.3691221,true,"The Brazos County Health District is dedicated to preventing disease, protecting life, and promoting a healthy lifestyle, provide immunizations, Health Education, Brazos Health Coalition.\n\n​",(979) 361-4440,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShjl86kGNMzZlK8hryuTztFKbKf9hliVfIujirSEmuJlGJDnYMKeyPhCZ5kOTNAm41NmjHkXAF6DrGhv9SW5b9Sl_GFvSJ_GuRMt1C0Cz_rCxfDGZNiEeTkDp2Mdo9f2mHcaO8dpKS7vbDPRLHLkzx0RR9SsJGPI7bVuLQs0-U9CtdsI,4.4,https://maps.google.com/?cid=4298873280041421323,http://www.brazoscountytx.gov/index.aspx?NID=161&MOBILE=OFF,No,Error: Not Found
65b6b50a-1b6e-4759-9db0-d41d4ec98919,Brazos Valley Council of Governments-Center for Regional Services,3991,East 29th Street,Bryan,Texas,United States,77802,30.6453936,-96.3322631,true,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 595-2800,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=588097649993113265,http://www.bvcog.org/,No,Error: Not Found
b7cd1c62-7b2d-4cdf-b241-66b9ef91edb8,Brazos Valley Food Bank,1501,Independence Avenue,Bryan,Texas,United States,77803,30.6599828,-96.4076106,true,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",(979) 779-3663,Sunday: Closed,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,AUacShju25PSx0URylyTjQEWxzCL8l0dADA2bVyGkThLsy7-ajTsJVbHWa-GpweeJ9tPnQvZ5Hc8AZi3HS0XYqN2N9NOJvaG-Lw4znIhuub0MN_DaT1Y5Saj88eJ259ngYG0Rb7KcOM9EVxPMZeep2vAyACFv4LGFuSe0juUdeu4vuV3xXAV,4.5,https://maps.google.com/?cid=10460053944986406616,https://www.bvfb.org/,No,Error: Not Found
c93de073-ee2e-4268-9a38-cc268c41210c,City of Bryan Community Development,1803,Greenfield Plaza,Bryan,Texas,United States,77802,30.6514697,-96.334455,true,Down payment housing assistance and deposit assistance. Community Development Services administers the City of Bryan’s Community Development Block Grant (CDBG) funds and the Home Investment Partnerships (HOME) program funds inaccordance to guidelines from the U.S. Department of Housing and Urban Development (HUD).,(979) 209-5175,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,3,https://maps.google.com/?cid=8514310717566494249,https://www.bryantx.gov/community-development/,No,Error: Not Found
03a96d0b-1c86-4e5c-b6cd-c461dff0ceaf,City of College Station Community Development,511,University Drive East,College Station,Texas,United States,77840,30.6321445,-96.3311233,true,"Down payment housing assistance and deposit assistance. The City of College Station receives federal funds from the Department of Housing and Urban Development (HUD) through the Community Development Block Grant (CDBG) and the HOME Investment Partnerships (HOME) grant. The Community Development Division of the Community Services Department is tasked with administering these grant funds through several programs \ndesigned in accordance with the division's goals, federal regulations and input from the City Council.",(979) 764-3778,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=8560417440756215675,https://www.cstx.gov/departments___city_hall/commserv/development,No,Error: Not Found
0cb4569b-a127-43d6-94f6-ac2111d892c3,Family Promise of Bryan-College Station,1401,West Martin Luther King Junior Street,Bryan,Texas,United States,77802,30.6851112,-96.386135,true,"Supports families by providing shelter, meals, and support services to homeless families.  They provide a safe environment in which families can stay together and become self-sufficient.",(979) 268-4309,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,4.8,https://maps.google.com/?cid=10153993638665176731,http://www.familypromisebcs.org/about-us/,No,Error: Not Found
