id,name,address,city,state,country,zip_code,county,latitude,longitude,description,phone,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,rating,address_link,website,resource_type
1977a82a-c522-41d4-9bb5-b25fb22727ce,Brazos Valley Council of Governments-Center for Regional Services,3991 East 29th Street,Bryan,Texas,United States,77802,Brazos,30.6453936,-96.3322631,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 595-2800,Closed,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,Error: Not Found,https://maps.google.com/?cid=588097649993113265,http://www.bvcog.org/,Error: Not Found
eaacb55d-6a9a-479e-bd39-524069ec8e3c,Brazos County Health Department,201 North Texas Avenue,Bryan,Texas,United States,77803,Brazos,30.6745998,-96.3691221,"The Brazos County Health District is dedicated to preventing disease, protecting life, and promoting a healthy lifestyle, provide immunizations, Health Education, Brazos Health Coalition.\n\n​",(979) 361-4440,Closed,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,4.4,https://maps.google.com/?cid=4298873280041421323,http://www.brazoscountytx.gov/index.aspx?NID=161&MOBILE=OFF,Error: Not Found
17274dda-d5dd-4e3f-9b16-398f1f6a9c23,Family Promise of Bryan-College Station,1401 West Martin Luther King Junior Street,Bryan,Texas,United States,77802,Brazos,30.6851112,-96.386135,"Supports families by providing shelter, meals, and support services to homeless families.  They provide a safe environment in which families can stay together and become self-sufficient.",(979) 268-4309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8,https://maps.google.com/?cid=10153993638665176731,http://www.familypromisebcs.org/about-us/,Error: Not Found
ed11b1a4-3ef4-4016-a384-1b3afb9ef42d,Big Brother Big Sister,315 Tauber Street,College Station,Texas,United States,77840,Brazos,30.6200488,-96.3464578,We provide mentoring services to children 6-18 years of age. We help nurture children and strengthen communities.,(979) 224-3660,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,https://maps.google.com/?cid=11746918291455438641,http://www.bbbsbrazos.com/,Error: Not Found
23e666ad-8e83-45d0-884f-c6ee7989e10b,Brazos Valley Food Bank,1501 Independence Avenue,Bryan,Texas,United States,77803,Brazos,30.6599828,-96.4076106,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",(979) 779-3663,Closed,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,Closed,4.5,https://maps.google.com/?cid=10460053944986406616,https://www.bvfb.org/,Error: Not Found
360dfd5a-ece3-4ca1-95d6-2c311cb0d961,Twin City Mission,410 South Randolph Avenue,Bryan,Texas,United States,77803,Brazos,30.6690231,-96.3805778,"Twin City Mission will accomplish its Vision through programs addressing homelessness, violence and abuse, family conflict, youth in crisis, life skills deficiencies, and poverty. They have a Homeless shelter, Community Closet, and community café.",(979) 822-1492,Closed,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,4.1,https://maps.google.com/?cid=2145362696860666391,http://twincitymission.org/,Error: Not Found
4ecd25b9-84e0-4304-a6dd-5ff8ad2e48fc,Brazos County Adult Probation,321 East 26th Street,Bryan,Texas,United States,77803,Brazos,30.6731634,-96.3706964,"Services for adults on probation. To protect the community by facilitating positive changes in offender \nbehavior, through the provision of programs and services and rapid \naccountability for offender actions.",(979) 361-4410,Closed,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,Closed,4,https://maps.google.com/?cid=2411293979060497676,http://www.brazoscountytx.gov/index.aspx?NID=287,Error: Not Found
64736faa-4b0d-4110-a4e1-65fbcde81e5b,Meals on Wheels,203 West 30th Street,Bryan,Texas,United States,77803,Brazos,30.6697332,-96.3750243,"Food Services primary focus is to provide nutritional services to the elderly population of the Brazos Valley. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, Meals on Wheels and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",(979) 823-2203,Closed,7:00 AM – 3:00 PM,7:00 AM – 3:00 PM,7:00 AM – 3:00 PM,7:00 AM – 3:00 PM,7:00 AM – 3:00 PM,Closed,4.4,https://maps.google.com/?cid=1511991798318267590,https://www.capbv.org/programs/meals-on-wheels/,Error: Not Found
dfb30398-08d6-452a-a59b-205cbbb30465,Health For All,3030 East West 29th Street,Bryan,Texas,United States,77802,Brazos,30.6551055,-96.3419723,"Provides free doctor visits, pharmaceuticals, specialist exams, lab tests, X-rays, chronic disease management education and counseling services to low-income patients in the Brazos Valley who do not have health insurance and do not qualify for government programs such as Medicaid, Medicare, or County Indigent funds",(979) 774-4176,Closed,8:20 AM – 5:00 PM,8:20 AM – 5:00 PM,8:20 AM – 6:00 PM,8:20 AM – 5:00 PM,8:20 AM – 12:00 PM,Closed,3,https://maps.google.com/?cid=11028570945545156069,http://www.hlth4all.org/,Error: Not Found
cc0be63b-e03f-4587-8b74-3984ebd7004c,La Hacienda Treatment Center," 702 University Dr E #100d ",College Station,Texas,United States,77840,Brazos,29.7377826,-95.4422197,"A drug and addiction treatment center located in Brazos Valley to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",(713) 977-5202,8:00 AM – 5:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,8:00 AM – 5:00 PM,1,https://maps.google.com/?cid=5129400830632330791,https://www.lahacienda.com/,Error: Not Found
