,Name,Street Number,Route,City,State,Country,Zip Code,Latitude,Longitude,Description,Phone Number,Sunday Hours,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Photo URL,Rating,URL,Website,TAMU Affiliation,Resource Type
0,Brazos Interfaith Immigration Network,2500,South College Avenue,Bryan,Texas,United States,77801,30.6444544,-96.36290389999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 393-8228,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,AUacShgGUMjS-sKi7WtZoXCgIjwOEQDK31vji55RaG-doXmcXbOrL7pfSgGqXkqf2qMAjaPyY65wCQHr9kqLerGG-erIw4ApEbMtnyFI3Fo1MAkIOT7VbA6WMnaMmI50RIA5rwnd8EQFip99RwVqTXn4Yoo-eXF6GJ7HG4INYqHraxog4knZ,5,https://maps.google.com/?cid=8838382452676018117,https://brazosimmigration.com/,No,Community Resource
0,Twin City Mission Bridge,410,South Randolph Avenue,Bryan,Texas,United States,77803,30.6690231,-96.3805778,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 822-1492,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShg5tAktQKS_vtg4LHDBAmAgxVPqZDKkrqi7l6Ov0mwj4a-dOIvRNnRvTHx4QFQq6d1w_4fJ_Hsg9z9kb3j-s4HMn10MJICCMHHGrhXmf6ZzhhfRjpKC1h92nBovCPEfXWZ3Uab_zIGveIMil-ebgTi_Hoy-WTESTPTOd4Ww3m8hkoG5,4.1,https://maps.google.com/?cid=2145362696860666391,http://twincitymission.org/,No,Community Resource
0,The Elizabeth House Maternity Home,2911,Texas Avenue South,College Station,Texas,United States,77845,30.5984685,-96.296838,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 676-9416,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,AUacShhk5snyjiajnPxe_FqIPdc7TOSQ-bCb6GIZwxpA_U309AwHiUqrW2cApd9MfKAkjspubv-zHbKEmacZpU8YFEuZU9XtEVdRngai69RibhFhPptpkVM3XS2noLYBJmNhqrhgxJR7Ds7xgFW6qagCm_vRST4yUtSkrZGSmxywpxPSzZ3L,5,https://maps.google.com/?cid=11475331361794472719,http://www.elizhouse.com/,No,Community Resource
0,Big Brothers Big Sisters,315,Tauber Street,College Station,Texas,United States,77840,30.6200488,-96.3464578,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 224-3660,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,3,https://maps.google.com/?cid=11746918291455438641,http://www.bbbsbrazos.com/,No,Community Resource
0,Brazos County Probation Office,321,East 26th Street,Bryan,Texas,United States,77803,30.6731634,-96.3706964,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",(979) 361-4410,Sunday: Closed,Monday: 7:00 AM – 5:00 PM,Tuesday: 7:00 AM – 5:00 PM,Wednesday: 7:00 AM – 5:00 PM,Thursday: 7:00 AM – 5:00 PM,Friday: 7:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,4,https://maps.google.com/?cid=2411293979060497676,http://www.brazoscountytx.gov/index.aspx?NID=287,No,Community Resource
0,Brazos County Health Department,201,North Texas Avenue,Bryan,Texas,United States,77803,30.6745998,-96.3691221,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 361-4440,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShjFXpyyyrf2HPOoU_IuMUbFOn7C_z3E-nmuh5AgKWdcg2aI2szpwT6cTvwCxGSALnNULNnqzHevCrmqB0IsnGuSDBHP6WjLXGAF5MUnbeYxM6N8hVBh5xZhKpnOPGy3Xi0o1ixTge5S0PrGlen3iiTkwqXfVTMKrunpEGPzTSH6oCUT,4.4,https://maps.google.com/?cid=4298873280041421323,http://www.brazoscountytx.gov/index.aspx?NID=161&MOBILE=OFF,No,Community Resource
0,Brazos Valley Affordable Housing Corp.,4001,East 29th Street,Bryan,Texas,United States,77802,30.6461334,-96.33149709999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-2809,Sunday: Closed,"Monday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Tuesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Wednesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Thursday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Friday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM",Saturday: Closed,AUacShih8w5Hw5PcsEAJNt11t8tI-kHORAlJmirbs3BdbUwjd7zK0NC8uh9DJjzOcosTLTJaz95-SkJ8VlJv1SV0SkOkREQ1cE88icQ_RI21WUC8Zm6MAItbjRPX-SIZ6OsKFRuJV8xDhTZAGoEsRCKWdXcTysOcZY6AatRVN3xw_Z6_0PGt,Error: Not Found,https://maps.google.com/?cid=498362278283668225,https://bvahc.org/,No,Community Resource
0,Center for Regional Services,3991,East 29th Street,Bryan,Texas,United States,77802,30.6453936,-96.33226309999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-2800,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=588097649993113265,http://www.bvcog.org/,No,Community Resource
0,Brazos Valley Council on Alcohol and Substance Abuse,4001,East 29th Street,Bryan,Texas,United States,77802,30.6464822,-96.3319113,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 846-3560,Sunday: Closed,"Monday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Tuesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Wednesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Thursday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Friday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM",Saturday: Closed,AUacShie2MlnyisQgYe0XoWlDVDQCV8UmBvhEoy2N4h9xjLPwd4EjVqJbiMMKJQkz0etnCr8-4RWk-UoXms-CKlVVCRTIj12lkDcMIHGrjWcxaxDCLAf2yUc8T6vtGUzYfXYfSPF28zCoCgrZ7npHX5J6KSX7seRgOQN55XY8hjErLtN8TmO,4,https://maps.google.com/?cid=5232201569578486203,http://www.bvcasa.org/,No,Community Resource
0,Brazos Valley Food Bank,1501,Independence Avenue,Bryan,Texas,United States,77803,30.65998279999999,-96.4076106,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 779-3663,Sunday: Closed,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,AUacShg-c3IWW8GZVY7Tnj2EFD_G44hpkgSb8EuTT7P2_Kagp5PqylvS17yy1Y9m7pgy7jl2WFfwJBOr6yT5R4qaGenP1P2jmH8QJYtCgKjLUE7yxqs0JD4JO5GZBt5Sg9p6ifDxoY7_VOLATbgCC_8V3nvK-0hrD9-9nO5XAAevHoeVnUNH,4.5,https://maps.google.com/?cid=10460053944986406616,https://www.bvfb.org/,No,Community Resource
